Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos
2017-03-23 16:38:23.258,0.0,TCP,192.168.220.7,37320,10081_164,80,1,66,1,.A....,0
2017-03-27 16:47:55.926,0.002,UDP,192.168.220.8,34358,DNS,53,2,164,1,......,0
2017-03-28 11:00:30.227,0.0,TCP,192.168.220.16,37922,10082_43,443,1,66,1,.A....,0
2017-03-24 06:55:25.575,0.0,TCP,192.168.220.4,57656,10056_105,443,1,66,1,.A....,0
2017-03-24 09:58:01.902,0.0,TCP,192.168.220.4,34347,10060_27,80,1,66,1,.A....,0
2017-03-28 10:50:12.093,0.0,TCP,11027_46,80,192.168.220.15,52963,1,66,1,.A....,32
2017-03-24 18:18:13.632,0.016,TCP,192.168.220.15,55362,10012_19,80,2,140,1,.A..S.,0
2017-03-28 17:06:54.866,0.0,TCP,192.168.200.8,60306,14193_168,80,1,55,1,.A....,0
2017-03-24 12:25:16.969,0.0,TCP,192.168.220.12,55978,10346_13,80,1,66,1,.A....,0
2017-03-24 18:31:13.167,0.0,TCP,192.168.200.8,55759,10321_204,443,1,55,1,.A....,0
2017-03-27 12:24:03.884,0.143,TCP,10170_26,443,192.168.220.8,59575,4,448,1,.AP.S.,32
2017-03-27 16:49:49.247,0.001,UDP,192.168.220.9,35269,DNS,53,2,156,1,......,0
2017-03-23 13:41:51.078,0.0,TCP,192.168.220.5,34008,10022_249,80,1,66,1,.A....,0
2017-03-24 09:48:43.666,0.021,TCP,10163_21,443,192.168.220.16,54422,3,193,1,.AP..F,0
2017-03-24 13:07:13.920,0.0,TCP,10294_70,443,192.168.220.11,43506,1,66,1,.A....,0
2017-03-23 09:30:23.587,0.0,TCP,192.168.220.16,54149,10001_232,80,1,66,1,.A....,0
2017-03-25 07:15:17.833,0.0,TCP,11744_152,80,192.168.220.7,36488,1,66,1,.A....,0
2017-03-27 09:24:53.760,0.004,UDP,192.168.220.6,37796,DNS,53,2,144,1,......,0
2017-03-24 18:42:22.016,0.0,TCP,10499_34,80,192.168.200.8,56266,1,566,1,.AP...,32
2017-03-28 15:45:07.851,0.0,TCP,14193_107,80,192.168.220.13,36276,1,66,1,.A....,0
2017-03-27 15:45:10.361,0.035,TCP,192.168.220.14,42202,11046_156,443,2,132,1,.A...F,0
2017-03-27 10:31:43.755,0.0,TCP,12805_86,443,192.168.200.8,53382,1,66,1,.A....,32
2017-03-22 06:32:14.733,0.0,TCP,10284_92,443,192.168.220.4,44250,1,66,1,.A....,32
2017-03-22 07:21:38.238,0.026,TCP,192.168.220.6,52811,10106_93,80,2,108,1,.A...F,0
2017-03-27 12:10:18.277,1.591,TCP,192.168.220.12,35194,11156_192,80,2,108,1,.A...F,0
2017-03-23 11:33:44.822,0.002,UDP,192.168.220.7,60482,DNS,53,2,146,1,......,0
2017-03-22 10:32:49.423,0.0,TCP,10057_187,443,192.168.210.4,50619,1,66,1,.A....,32
2017-03-27 12:16:18.834,0.0,TCP,192.168.220.15,53576,10057_29,80,1,66,1,.A....,0
2017-03-22 10:23:24.904,0.008,TCP,192.168.210.4,64428,10102_54,80,2,108,1,.A...F,0
2017-03-22 14:09:10.029,0.0,TCP,10199_6,80,192.168.220.8,45985,1,66,1,.A....,32
2017-03-22 15:27:48.345,0.0,UDP,DNS,53,192.168.210.5,50387,1,157,1,......,0
2017-03-23 13:48:28.873,0.0,UDP,DNS,53,192.168.210.5,49431,1,119,1,......,0
2017-03-22 16:33:41.729,0.0,TCP,192.168.220.7,43810,10022_249,80,1,66,1,.A....,0
2017-03-23 12:21:07.765,0.0,TCP,192.168.220.11,36478,12732_64,443,1,66,1,.A....,0
2017-03-27 23:49:34.228,0.0,UDP,DNS,53,192.168.200.8,62135,1,103,1,......,0
2017-03-28 10:58:46.938,0.034,TCP,192.168.220.13,38380,10078_77,80,2,132,1,.A...F,0
2017-03-23 10:05:57.838,0.101,TCP,192.168.220.12,58604,11613_158,443,2,1071,1,.AP...,0
2017-03-27 09:50:43.685,0.0,TCP,192.168.220.15,45354,15151_205,80,1,66,1,.A....,0
2017-03-24 12:15:11.746,0.0,TCP,192.168.220.10,53172,11156_192,443,1,54,1,.A....,0
2017-03-24 12:01:22.091,0.0,TCP,14211_189,80,192.168.220.13,59498,1,66,1,.A....,32
2017-03-22 21:33:57.830,0.0,TCP,10081_164,443,192.168.220.15,59366,1,66,1,.A....,0
2017-03-28 08:54:39.258,0.0,TCP,192.168.220.15,38346,12152_108,443,1,66,1,.A....,0
2017-03-23 15:50:05.543,0.449,TCP,192.168.220.7,37057,10004_36,443,9,1501,1,.AP...,0
2017-03-22 18:10:57.117,0.0,TCP,10077_156,80,192.168.220.15,58996,1,78,1,.A....,32
2017-03-27 14:41:25.146,0.0,TCP,192.168.220.6,40484,10026_175,80,1,66,1,.A....,0
2017-03-28 12:39:42.399,0.613,TCP,10223_24,80,192.168.220.15,55160,49,63911,1,.AP...,0
2017-03-25 17:08:15.406,0.221,TCP,192.168.200.8,59301,EXT_SERVER,8082,2,319,1,.AP...,0
2017-03-28 16:50:22.943,0.025,TCP,192.168.220.14,55166,10092_117,80,2,132,1,.A...F,0
2017-03-27 09:29:26.601,0.226,TCP,192.168.210.5,59386,11081_15,443,2,149,1,.AP...,0
