CompanyId,Industry,PeriodIndex,Revenue,COGS,GrossProfit,NetProfit,Purchases,Cash_Begin,Cash_End,Inventory_Begin,Inventory_End,AccountsReceivable,OtherAssets,TotalAssets,TotalLiabilities,TotalEquity,InventoryNetInflow,InventoryToAssetsBp,ReceivableToRevenueBp
CONS001,consulting,1,44263,22202,22061,7969,22207,10333,10185,470,475,13561,19496,43717,16037,27680,5,109,3064
CONS001,consulting,2,45907,23437,22470,11197,23485,10185,10561,475,523,13710,20547,45341,16632,28709,48,115,2986
CONS001,consulting,3,47955,24385,23570,11396,24440,10561,6600,523,578,15117,25069,47364,17374,29990,55,122,3152
CONS001,consulting,4,49750,25545,24205,11459,25502,6600,14585,578,535,15474,18543,49137,18025,31112,-43,109,3110
CONS001,consulting,5,51118,25980,25138,7264,26021,14585,10104,535,576,15395,24413,50488,18520,31968,41,114,3012
CONS001,consulting,6,52016,26187,25829,11883,26194,10104,8398,576,583,16335,26059,51375,18846,32529,7,113,3140
CONS001,consulting,7,53880,27010,26870,12219,27027,8398,6964,583,600,16333,29319,53216,19521,33695,17,113,3031
CONS001,consulting,8,55038,28292,26746,12345,28339,6964,14067,600,647,17099,22546,54359,19940,34419,47,119,3107
CONS002,consulting,1,13956,7708,6248,2610,7731,2101,2241,195,218,2700,11830,16989,8632,8357,23,128,1935
CONS002,consulting,2,14248,7951,6297,1684,7962,2241,3388,218,229,2665,11063,17345,8813,8532,11,132,1870
CONS002,consulting,3,14480,8022,6458,2902,8017,3388,3952,229,224,2868,10583,17627,8956,8671,-5,127,1981
CONS002,consulting,4,14977,8416,6561,3062,8408,3952,4403,224,216,2758,10855,18232,9264,8968,-8,118,1841
CONS002,consulting,5,15263,8495,6768,2598,8503,4403,4060,216,224,2996,11301,18581,9441,9140,8,121,1963
CONS002,consulting,6,15499,8594,6905,1971,8604,4060,6921,224,234,2854,8859,18868,9587,9281,10,124,1841
CONS002,consulting,7,16083,8900,7183,3474,8906,6921,5875,234,240,3245,10219,19579,9948,9631,6,123,2018
CONS002,consulting,8,16606,9303,7303,2824,9305,5875,3507,240,242,3328,13138,20215,10271,9944,2,120,2004
CONS003,consulting,1,52544,30424,22120,6090,30498,8392,8845,772,846,10576,45592,65859,28882,36977,74,128,2013
CONS003,consulting,2,53634,31469,22165,6676,31435,8845,23807,846,812,10729,31877,67225,29482,37743,-34,121,2000
CONS003,consulting,3,55119,32162,22957,12341,32238,23807,17032,812,888,10403,40764,69087,30298,38789,76,129,1887
CONS003,consulting,4,57320,33688,23632,12557,33712,17032,19155,888,912,11355,40423,71845,31508,40337,24,127,1981
CONS003,consulting,5,59320,34689,24631,9401,34702,19155,9646,912,925,11787,51994,74352,32607,41745,13,124,1987
CONS003,consulting,6,62048,35660,26388,7457,35679,9646,22668,925,944,12370,41789,77771,34107,43664,19,121,1994
CONS003,consulting,7,63962,37002,26960,7611,37106,22668,28078,944,1048,13026,38018,80170,35159,45011,104,131,2037
CONS003,consulting,8,65223,38380,26843,13393,38378,28078,26665,1048,1046,12764,41276,81751,35852,45899,-2,128,1957
CONS004,consulting,1,34783,20402,14381,7442,20424,12080,11743,563,585,7875,16402,36605,13833,22772,22,160,2264
CONS004,consulting,2,35433,20629,14804,5360,20660,11743,5152,585,616,7787,23734,37289,14092,23197,31,165,2198
CONS004,consulting,3,36605,21343,15262,4378,21373,5152,12036,616,646,7737,18104,38523,14558,23965,30,168,2114
CONS004,consulting,4,37263,21776,15487,4784,21767,12036,7349,646,637,8348,22881,39215,14820,24395,-9,162,2240
CONS004,consulting,5,38526,22026,16500,4194,22041,7349,6966,637,652,8068,24858,40544,15322,25222,15,161,2094
CONS004,consulting,6,39204,22598,16606,7610,22584,6966,10420,652,638,8494,21706,41258,15592,25666,-14,155,2167
CONS004,consulting,7,39617,22756,16861,4878,22803,10420,6033,638,685,8768,26206,41692,15756,25936,47,164,2213
CONS004,consulting,8,41021,23829,17192,7717,23824,6033,14680,685,680,8874,18936,43170,16314,26856,-5,158,2163
CONS005,consulting,1,36870,21586,15284,8099,21608,10858,10783,713,735,6485,26373,44376,27085,17291,22,166,1759
CONS005,consulting,2,36788,21720,15068,4819,21709,10783,11421,735,724,6619,25514,44278,27025,17253,-11,164,1799
CONS005,consulting,3,37336,21591,15745,5704,21585,11421,10496,724,718,6430,27293,44937,27427,17510,-6,160,1722
CONS005,consulting,4,38345,22174,16171,5191,22183,10496,14559,718,727,6478,24388,46152,28169,17983,9,158,1689
CONS005,consulting,5,39912,23567,16345,4803,23567,14559,16012,727,727,7019,24280,48038,29320,18718,0,151,1759
CONS005,consulting,6,41067,24224,16843,5649,24312,16012,8185,727,815,6870,33558,49428,30168,19260,88,165,1673
CONS005,consulting,7,41641,24644,16997,4521,24586,8185,13875,815,757,6974,28513,50119,30590,19529,-58,151,1675
CONS005,consulting,8,42791,25070,17721,9082,25113,13875,17533,757,800,7449,25721,51503,31435,20068,43,155,1741
CONS006,consulting,1,20968,13106,7862,3931,13138,7545,8674,195,227,4192,11618,24711,12935,11776,32,92,1999
CONS006,consulting,2,21545,13285,8260,3997,13309,8674,7037,227,251,4609,13494,25391,13291,12100,24,99,2139
CONS006,consulting,3,22400,14087,8313,4217,14079,7037,6208,251,243,4663,15284,26398,13818,12580,-8,92,2082
