Duration,Proto,SrcSubnet,DstSubnet,SrcPortClass,DstPortClass,Packets,Bytes,Flags,Tos
0.023,TCP,220,666,72000,80,2,682,.AP...,0
0.0,TCP,220,666,71000,80,1,66,.A....,0
0.025,TCP,220,666,72000,80,2,132,.A...F,0
0.077,TCP,666,220,443,71000,5,5307,.AP.S.,32
0.023,TCP,666,200,443,71000,3,1203,.AP..F,32
0.0,TCP,666,220,443,71000,1,54,.A....,32
0.004,UDP,220,888,72000,53,2,158,......,0
0.0,TCP,666,220,443,71000,2,163,.AP..F,32
0.0,UDP,888,200,53,72000,1,90,......,0
0.0,TCP,220,666,72000,80,1,54,.A....,0
